DATE,#GUESTS,DAILY SALES
"22-May, 2009",624,"$5,645.45"
"23-May, 2009",533,"$4,586.39"
"24-May, 2009",480,"$4,371.83"
"25-May, 2009",359,"$3,036.39"
"26-May, 2009",275,"$2,270.19"
"27-May, 2009",310,"$2,675.99"
"28-May, 2009",424,"$3,651.85"
"29-May, 2009",629,"$5,652.23"
"30-May, 2009",671,"$5,881.15"
"31-May, 2009",525,"$4,741.66"
"01-Jun, 2009",298,"$2,565.86"
"02-Jun, 2009",351,"$3,010.41"
"03-Jun, 2009",416,"$3,501.49"
"04-Jun, 2009",439,"$3,651.92"
"05-Jun, 2009",657,"$5,788.45"
"06-Jun, 2009",586,"$5,144.50"
"07-Jun, 2009",462,"$4,170.04"
"08-Jun, 2009",354,"$3,071.80"
"09-Jun, 2009",367,"$3,221.99"
"10-Jun, 2009",391,"$3,390.47"
"11-Jun, 2009",395,"$3,441.41"
"12-Jun, 2009",567,"$5,017.57"
"13-Jun, 2009",522,"$4,555.20"
"14-Jun, 2009",470,"$4,228.14"
"15-Jun, 2009",392,"$3,341.40"
"16-Jun, 2009",352,"$2,984.66"
"17-Jun, 2009",382,"$3,258.52"
"18-Jun, 2009",417,"$3,469.49"
"19-Jun, 2009",634,"$5,538.59"
"20-Jun, 2009",601,"$5,365.89"
"21-Jun, 2009",859,"$8,159.14"
"22-Jun, 2009",342,"$2,891.62"
"23-Jun, 2009",310,"$2,712.45"
"24-Jun, 2009",315,"$2,553.45"
"25-Jun, 2009",448,"$3,902.12"
"26-Jun, 2009",608,"$5,348.76"
"27-Jun, 2009",636,"$5,516.26"
"28-Jun, 2009",576,"$4,991.40"
"29-Jun, 2009",391,"$3,184.48"
"30-Jun, 2009",346,"$2,991.17"
"01-Jul, 2009",417,"$3,582.46"
"02-Jul, 2009",429,"$3,695.71"
"03-Jul, 2009",602,"$5,102.27"
"04-Jul, 2009",304,"$2,588.46"
"05-Jul, 2009",433,"$3,818.13"
"06-Jul, 2009",347,"$2,814.62"
"07-Jul, 2009",366,"$3,163.69"
"08-Jul, 2009",412,"$3,489.33"
"09-Jul, 2009",397,"$3,222.01"
"10-Jul, 2009",716,"$6,141.12"
"11-Jul, 2009",539,"$4,653.44"
"12-Jul, 2009",568,"$4,934.89"
"13-Jul, 2009",314,"$2,501.29"
"14-Jul, 2009",352,"$2,886.54"
"15-Jul, 2009",398,"$3,398.74"
"16-Jul, 2009",478,"$3,830.85"
"17-Jul, 2009",666,"$5,818.01"
"18-Jul, 2009",622,"$5,416.83"
"19-Jul, 2009",566,"$4,925.25"
"20-Jul, 2009",364,"$3,049.38"
"21-Jul, 2009",362,"$3,038.98"
"22-Jul, 2009",383,"$3,163.43"
"23-Jul, 2009",489,"$4,095.79"
"24-Jul, 2009",601,"$5,183.98"
"25-Jul, 2009",620,"$5,269.79"
"26-Jul, 2009",623,"$5,013.99"
"27-Jul, 2009",467,"$3,612.92"
"28-Jul, 2009",504,"$4,053.49"
"29-Jul, 2009",448,"$3,488.18"
"30-Jul, 2009",494,"$3,931.12"
"31-Jul, 2009",719,"$5,975.28"
"01-Aug, 2009",711,"$5,960.66"
"02-Aug, 2009",692,"$5,850.62"
"03-Aug, 2009",390,"$3,037.63"
"04-Aug, 2009",412,"$3,332.32"
"05-Aug, 2009",449,"$3,701.75"
"06-Aug, 2009",527,"$4,312.22"
"07-Aug, 2009",687,"$5,834.31"
"08-Aug, 2009",659,"$5,498.99"
"09-Aug, 2009",637,"$5,269.32"
"10-Aug, 2009",370,"$2,933.75"
"11-Aug, 2009",471,"$3,686.46"
"12-Aug, 2009",497,"$4,080.07"
"13-Aug, 2009",439,"$3,554.13"
"14-Aug, 2009",725,"$6,117.54"
"15-Aug, 2009",631,"$5,298.13"
"16-Aug, 2009",535,"$4,621.77"
"17-Aug, 2009",379,"$3,122.81"
"18-Aug, 2009",373,"$2,964.36"
"19-Aug, 2009",436,"$3,474.03"
"20-Aug, 2009",360,"$2,857.19"
"21-Aug, 2009",597,"$4,989.54"
"22-Aug, 2009",616,"$5,010.70"
"23-Aug, 2009",485,"$4,048.81"
"24-Aug, 2009",396,"$3,268.97"
"25-Aug, 2009",301,"$2,393.58"
"26-Aug, 2009",412,"$3,308.82"
"27-Aug, 2009",402,"$3,280.12"
"28-Aug, 2009",598,"$4,900.74"
"29-Aug, 2009",584,"$4,790.06"
"30-Aug, 2009",482,"$4,057.68"
"31-Aug, 2009",361,"$2,991.70"
"01-Sep, 2009",282,"$2,393.03"
"02-Sep, 2009",343,"$2,924.41"
"03-Sep, 2009",298,"$2,563.72"
"04-Sep, 2009",462,"$4,000.98"
"05-Sep, 2009",454,"$3,874.50"
"06-Sep, 2009",399,"$3,595.32"
"07-Sep, 2009",462,"$3,666.24"
"08-Sep, 2009",302,"$2,399.50"
"09-Sep, 2009",382,"$3,175.06"
"10-Sep, 2009",421,"$3,119.31"
"11-Sep, 2009",669,"$5,204.88"
"12-Sep, 2009",520,"$3,957.97"
"13-Sep, 2009",535,"$4,053.79"
"14-Sep, 2009",299,"$2,351.61"
"15-Sep, 2009",286,"$2,232.25"
"16-Sep, 2009",398,"$3,148.36"
"17-Sep, 2009",395,"$3,106.49"
"18-Sep, 2009",540,"$4,269.43"
"19-Sep, 2009",648,"$5,105.60"
"20-Sep, 2009",528,"$4,141.74"
"21-Sep, 2009",382,"$3,009.42"
"22-Sep, 2009",376,"$2,893.06"
"23-Sep, 2009",427,"$3,242.44"
"24-Sep, 2009",458,"$3,560.70"
"25-Sep, 2009",616,"$4,906.77"
"26-Sep, 2009",561,"$4,389.43"
"27-Sep, 2009",559,"$4,526.64"
"28-Sep, 2009",355,"$2,756.03"
"29-Sep, 2009",334,"$2,657.50"
"30-Sep, 2009",395,"$2,944.39"
"01-Oct, 2009",408,"$3,012.55"
"02-Oct, 2009",770,"$6,002.78"
"03-Oct, 2009",511,"$4,072.53"
"04-Oct, 2009",621,"$4,792.27"
"05-Oct, 2009",366,"$2,772.81"
"06-Oct, 2009",431,"$3,282.42"
"07-Oct, 2009",451,"$3,471.16"
"08-Oct, 2009",534,"$4,031.91"
"09-Oct, 2009",728,"$5,478.42"
"10-Oct, 2009",605,"$4,597.21"
"11-Oct, 2009",474,"$3,782.33"
"12-Oct, 2009",354,"$2,621.10"
"13-Oct, 2009",381,"$2,814.79"
"14-Oct, 2009",299,"$2,275.60"
"15-Oct, 2009",482,"$3,760.25"
"16-Oct, 2009",697,"$5,306.54"
"17-Oct, 2009",717,"$5,342.43"
"18-Oct, 2009",620,"$4,893.06"
"19-Oct, 2009",408,"$3,077.44"
"20-Oct, 2009",399,"$3,143.46"
"21-Oct, 2009",403,"$3,152.49"
"22-Oct, 2009",453,"$3,384.89"
"23-Oct, 2009",649,"$5,163.19"
"24-Oct, 2009",665,"$5,557.84"
"25-Oct, 2009",546,"$4,243.07"
"26-Oct, 2009",269,"$2,058.10"
"27-Oct, 2009",394,"$3,071.52"
"28-Oct, 2009",296,"$2,343.10"
"29-Oct, 2009",381,"$3,062.66"
"30-Oct, 2009",663,"$5,355.08"
"31-Oct, 2009",459,"$3,763.06"
"01-Nov, 2009",510,"$4,203.79"
"02-Nov, 2009",324,"$2,686.13"
"03-Nov, 2009",384,"$3,353.20"
"04-Nov, 2009",416,"$3,608.96"
"05-Nov, 2009",431,"$3,642.84"
"06-Nov, 2009",551,"$4,845.52"
"07-Nov, 2009",765,"$6,881.45"
"08-Nov, 2009",514,"$4,636.55"
"09-Nov, 2009",274,"$2,373.53"
"10-Nov, 2009",345,"$2,848.52"
"11-Nov, 2009",434,"$3,866.74"
"12-Nov, 2009",433,"$3,827.98"
"13-Nov, 2009",674,"$6,017.70"
"14-Nov, 2009",573,"$5,056.61"
"15-Nov, 2009",571,"$5,174.93"
"16-Nov, 2009",286,"$2,443.39"
"17-Nov, 2009",361,"$3,181.09"
"18-Nov, 2009",318,"$2,876.40"
"19-Nov, 2009",360,"$3,265.60"
"20-Nov, 2009",555,"$5,065.68"
"21-Nov, 2009",630,"$5,707.16"
"22-Nov, 2009",413,"$3,772.20"
"23-Nov, 2009",313,"$2,702.70"
"24-Nov, 2009",286,"$2,485.90"
"25-Nov, 2009",452,"$4,039.40"
"27-Nov, 2009",285,"$2,423.68"
"28-Nov, 2009",469,"$4,136.23"
"29-Nov, 2009",477,"$4,190.92"
"30-Nov, 2009",311,"$2,755.64"
"01-Dec, 2009",341,"$3,026.97"
"02-Dec, 2009",368,"$3,228.15"
"03-Dec, 2009",345,"$3,032.29"
"04-Dec, 2009",705,"$6,379.99"
"05-Dec, 2009",524,"$4,742.35"
"06-Dec, 2009",465,"$4,190.62"
"07-Dec, 2009",194,"$1,732.55"
"08-Dec, 2009",271,"$2,359.67"
"09-Dec, 2009",283,"$2,483.00"
"10-Dec, 2009",339,"$3,002.91"
"11-Dec, 2009",614,"$5,733.15"
"12-Dec, 2009",451,"$4,006.60"
"13-Dec, 2009",462,"$4,256.48"
"14-Dec, 2009",331,"$2,996.24"
"15-Dec, 2009",321,"$2,952.90"
"16-Dec, 2009",318,"$2,881.91"
"17-Dec, 2009",386,"$3,415.29"
"18-Dec, 2009",637,"$6,009.84"
"19-Dec, 2009",635,"$5,752.60"
"20-Dec, 2009",556,"$5,176.72"
"21-Dec, 2009",463,"$3,976.89"
"22-Dec, 2009",371,"$3,315.47"
"23-Dec, 2009",450,"$4,061.29"
"24-Dec, 2009",543,"$5,014.27"
"26-Dec, 2009",492,"$4,363.02"
"27-Dec, 2009",448,"$4,049.97"
"28-Dec, 2009",421,"$3,523.06"
"29-Dec, 2009",351,"$3,034.52"
"30-Dec, 2009",312,"$2,750.70"
"31-Dec, 2009",558,"$4,985.74"
"01-Jan, 2010",445,"$4,094.40"
"02-Jan, 2010",591,"$5,203.31"
"03-Jan, 2010",496,"$4,440.25"
"04-Jan, 2010",202,"$1,717.10"
"05-Jan, 2010",308,"$2,713.97"
